掲載日,書名,著者名,価格,当月合計冊数,出版社名
2020/09/25,【タテコミ】その魔女を放せ（58）【フルカラー】,[著]二目,60,2,[発行]閲文漫画
2020/10/02,【タテコミ】その魔女を放せ（59）【フルカラー】,[著]二目,30,14,[発行]閲文漫画
2020/10/02,【タテコミ】その魔女を放せ（59）【フルカラー】,[著]二目,60,2,[発行]閲文漫画
2020/10/09,【タテコミ】その魔女を放せ（60）【フルカラー】,[著]二目,30,13,[発行]閲文漫画
2020/10/09,【タテコミ】その魔女を放せ（60）【フルカラー】,[著]二目,60,2,[発行]閲文漫画
2020/10/16,【タテコミ】その魔女を放せ（61）【フルカラー】,[著]二目,30,13,[発行]閲文漫画
2020/10/16,【タテコミ】その魔女を放せ（61）【フルカラー】,[著]二目,60,1,[発行]閲文漫画
2020/10/23,【タテコミ】その魔女を放せ（62）【フルカラー】,[著]二目,30,13,[発行]閲文漫画
2020/10/23,【タテコミ】その魔女を放せ（62）【フルカラー】,[著]二目,60,1,[発行]閲文漫画
2020/10/30,【タテコミ】その魔女を放せ（63）【フルカラー】,[著]二目,30,13,[発行]閲文漫画
2020/10/30,【タテコミ】その魔女を放せ（63）【フルカラー】,[著]二目,60,1,[発行]閲文漫画
2020/11/06,【タテコミ】その魔女を放せ（64）【フルカラー】,[著]二目,30,12,[発行]閲文漫画
2020/11/06,【タテコミ】その魔女を放せ（64）【フルカラー】,[著]二目,60,2,[発行]閲文漫画
2020/11/13,【タテコミ】その魔女を放せ（65）【フルカラー】,[著]二目,30,13,[発行]閲文漫画
2020/11/13,【タテコミ】その魔女を放せ（65）【フルカラー】,[著]二目,60,1,[発行]閲文漫画
2020/11/20,【タテコミ】その魔女を放せ（66）【フルカラー】,[著]二目,30,13,[発行]閲文漫画
2020/11/20,【タテコミ】その魔女を放せ（66）【フルカラー】,[著]二目,60,1,[発行]閲文漫画
2020/11/27,【タテコミ】その魔女を放せ（67）【フルカラー】,[著]二目,30,13,[発行]閲文漫画
2020/11/27,【タテコミ】その魔女を放せ（67）【フルカラー】,[著]二目,60,1,[発行]閲文漫画
2020/12/04,【タテコミ】その魔女を放せ（68）【フルカラー】,[著]二目,30,14,[発行]閲文漫画
2020/12/04,【タテコミ】その魔女を放せ（68）【フルカラー】,[著]二目,60,1,[発行]閲文漫画
