Release date,Title,Author,Price,Total sales (current month),Publisher
2022/06/18,Captured Crown Prince [VertiComix](61),[author]Liuyao : The Shubl Website : Jimeng,0.6,1,[publisher]KUAIKAN
2022/06/18,Captured Crown Prince [VertiComix](62),[author]Liuyao : The Shubl Website : Jimeng,0.6,1,[publisher]KUAIKAN
2022/06/18,Captured Crown Prince [VertiComix](63),[author]Liuyao : The Shubl Website : Jimeng,0.6,1,[publisher]KUAIKAN
2022/06/18,Captured Crown Prince [VertiComix](64),[author]Liuyao : The Shubl Website : Jimeng,0.6,1,[publisher]KUAIKAN
2022/06/18,Captured Crown Prince [VertiComix](65),[author]Liuyao : The Shubl Website : Jimeng,0.6,1,[publisher]KUAIKAN
2022/06/25,Captured Crown Prince [VertiComix](66),[author]Liuyao : The Shubl Website : Jimeng,0.6,1,[publisher]KUAIKAN
2022/06/07,The Goddess of Healing [VertiComix](155),[author]HUQI : JIANGWUWU,0.3,1,[publisher]KUAIKAN
2022/06/07,The Goddess of Healing [VertiComix](155),[author]HUQI : JIANGWUWU,0.6,2,[publisher]KUAIKAN
2022/06/07,The Goddess of Healing [VertiComix](156),[author]HUQI : JIANGWUWU,0.3,1,[publisher]KUAIKAN
2022/06/07,The Goddess of Healing [VertiComix](156),[author]HUQI : JIANGWUWU,0.6,2,[publisher]KUAIKAN
2022/06/01,The Zombie and the Vampire［VertiComix］（60）,[author]Shenshenjun : Yiwanzhou : YOFOX,0.6,1,[publisher]KUAIKAN
2022/06/05,If， Future[VertiComix](1),[author]bless,0.0,1,[publisher]KUAIKAN
2022/06/05,If， Future[VertiComix](2),[author]bless,0.0,1,[publisher]KUAIKAN
2022/06/02,The Bright Moon[VertiComix](1),[author]Fifth : Huazhongxianmiao,0.0,1,[publisher]KUAIKAN
2022/06/02,The Bright Moon[VertiComix](1),[author]Fifth : Huazhongxianmiao,0.06,1,[publisher]KUAIKAN
2022/06/02,The Bright Moon[VertiComix](2),[author]Fifth : Huazhongxianmiao,0.0,1,[publisher]KUAIKAN
2022/06/02,The Bright Moon[VertiComix](2),[author]Fifth : Huazhongxianmiao,0.06,1,[publisher]KUAIKAN
2022/06/02,The Bright Moon[VertiComix](3),[author]Fifth : Huazhongxianmiao,0.06,2,[publisher]KUAIKAN
2022/06/02,The Bright Moon[VertiComix](4),[author]Fifth : Huazhongxianmiao,0.06,2,[publisher]KUAIKAN
2022/06/02,The Bright Moon[VertiComix](5),[author]Fifth : Huazhongxianmiao,0.06,2,[publisher]KUAIKAN
2022/08/01,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](17),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/08/01,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](18),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/08/01,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](19),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
